"File","Role","Client","Method","RawPath","PathClass","IsDynamic"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M265\M265Page.jsx","OTHER","fetch","DELETE","/api/m265/${id}","DYNAMIC_OR_TEMPLATE","True"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","API_OR_SERVICE","api","GET","/sso/providers","ROOT_RELATIVE","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M316\M316Page.jsx","OTHER","fetch","GET","/api/m316?${params}","DYNAMIC_OR_TEMPLATE","True"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","API_OR_SERVICE","api","GET","/cold-storage/temperature/${facilityId}","DYNAMIC_OR_TEMPLATE","True"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\coreApi.js","API_OR_SERVICE","api","GET","/users/profile","ROOT_RELATIVE","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\componentApi.js","API_OR_SERVICE","api","POST","/ai/voice/transcribe","ROOT_RELATIVE","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M040\M040Page.jsx","OTHER","fetch","GET","/api/m040?${params}","DYNAMIC_OR_TEMPLATE","True"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","API_OR_SERVICE","api","POST","/cost-benefit-analysis/analyze","ROOT_RELATIVE","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M113\M113Page.jsx","OTHER","fetch","GET","/api/m113?${params}","DYNAMIC_OR_TEMPLATE","True"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","API_OR_SERVICE","api","POST","/water-budgeting/report","ROOT_RELATIVE","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","API_OR_SERVICE","api","GET","/procurement-subscription/statistics","ROOT_RELATIVE","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","API_OR_SERVICE","api","GET","/company/${companyId}/fiscal-years","DYNAMIC_OR_TEMPLATE","True"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","API_OR_SERVICE","api","GET","/villages","ROOT_RELATIVE","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M143\M143Page.jsx","OTHER","fetch","DELETE","/api/m143/${id}","DYNAMIC_OR_TEMPLATE","True"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","API_OR_SERVICE","api","POST","/shared-infra/assets","ROOT_RELATIVE","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\pages\modules\M280\M280.jsx","PAGE","fetch","GET","/api/v1/backend-modules/M280/","API_PATH","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","API_OR_SERVICE","api","GET","/debugger","ROOT_RELATIVE","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","API_OR_SERVICE","api","GET","/workflow-manager","ROOT_RELATIVE","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M034\M034Page.jsx","OTHER","fetch","GET","/api/m034?${params}","DYNAMIC_OR_TEMPLATE","True"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","API_OR_SERVICE","api","GET","/soil-conservation-farming","ROOT_RELATIVE","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","API_OR_SERVICE","api","GET","/reporting-resilience-farming","ROOT_RELATIVE","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","API_OR_SERVICE","api","GET","/metric-analyses","ROOT_RELATIVE","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","API_OR_SERVICE","api","GET","/sensor-farming","ROOT_RELATIVE","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","API_OR_SERVICE","api","GET","/layouts/${id}","DYNAMIC_OR_TEMPLATE","True"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M231\M231Page.jsx","OTHER","fetch","DELETE","/api/m231/${id}","DYNAMIC_OR_TEMPLATE","True"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","API_OR_SERVICE","api","PUT","/information-sharing/document/${id}","DYNAMIC_OR_TEMPLATE","True"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","API_OR_SERVICE","api","GET","/weather/advisory-triggers","ROOT_RELATIVE","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M243\M243Page.jsx","OTHER","fetch","GET","/api/m243?${params}","DYNAMIC_OR_TEMPLATE","True"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","API_OR_SERVICE","api","GET","/schedule-manager","ROOT_RELATIVE","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","API_OR_SERVICE","api","DELETE","/animal-health/examination/${id}","DYNAMIC_OR_TEMPLATE","True"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\commerceApi.js","API_OR_SERVICE","api","GET","/seed-vault","ROOT_RELATIVE","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","API_OR_SERVICE","api","DELETE","/farmers/${farmerId}/fields/${fieldId}","DYNAMIC_OR_TEMPLATE","True"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","API_OR_SERVICE","api","GET","/goat-farming/animals","ROOT_RELATIVE","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","API_OR_SERVICE","api","GET","/soil-health-monitoring","ROOT_RELATIVE","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","API_OR_SERVICE","api","POST","/complete-ai-integration/recommend-livestock-breeding/${livestockId}","DYNAMIC_OR_TEMPLATE","True"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","API_OR_SERVICE","api","POST","/pasture/manage","ROOT_RELATIVE","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","API_OR_SERVICE","api","DELETE","/community-asset/${id}","DYNAMIC_OR_TEMPLATE","True"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","API_OR_SERVICE","api","GET","/decision-support","ROOT_RELATIVE","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","API_OR_SERVICE","api","POST","/data-subjects/${id}","DYNAMIC_OR_TEMPLATE","True"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\commerceApi.js","API_OR_SERVICE","api","POST","/products","ROOT_RELATIVE","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\pages\modules\M80\M80.jsx","PAGE","fetch","DELETE","/api/v1/backend-modules/M080/${id}","DYNAMIC_OR_TEMPLATE","True"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","API_OR_SERVICE","api","GET","/jurisdictions/${id}","DYNAMIC_OR_TEMPLATE","True"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\operationsApi.js","API_OR_SERVICE","api","GET","/financial/overview","ROOT_RELATIVE","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","API_OR_SERVICE","api","POST","/onions/manage","ROOT_RELATIVE","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","API_OR_SERVICE","api","GET","/trending-products/${id}","DYNAMIC_OR_TEMPLATE","True"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","API_OR_SERVICE","api","GET","/decision-engine/status","ROOT_RELATIVE","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","API_OR_SERVICE","api","GET","/nervous-system/start-heart-beat","ROOT_RELATIVE","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","API_OR_SERVICE","api","PUT","/environment-config/${id}","DYNAMIC_OR_TEMPLATE","True"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","API_OR_SERVICE","api","GET","/flash-sales","ROOT_RELATIVE","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\pages\modules\M103\M103.jsx","PAGE","fetch","GET","/api/v1/backend-modules/M103/","API_PATH","False"
