"FrontendFile","Client","Method","RawPath","DynamicClass","CandidatePath"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\pages\modules\M229\M229.jsx","fetch","DELETE","/api/v1/backend-modules/M229/${id}","TEMPLATE_ID_PARAMETER","/api/v1/backend-modules/M229/:param"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\pages\modules\M120\M120.jsx","fetch","DELETE","/api/v1/backend-modules/M120/${id}","TEMPLATE_ID_PARAMETER","/api/v1/backend-modules/M120/:param"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M274\M274Page.jsx","fetch","GET","/api/m274/search?q=${encodeURIComponent(searchQuery)}","TEMPLATE_INTERPOLATION","/api/m274/search"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","api","GET","/groups/${id}","TEMPLATE_ID_PARAMETER","/groups/:param"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M190\M190Page.jsx","fetch","DELETE","/api/m190/${id}","TEMPLATE_ID_PARAMETER","/api/m190/:param"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\pages\modules\M265\M265.jsx","fetch","DELETE","/api/v1/backend-modules/M265/${id}","TEMPLATE_ID_PARAMETER","/api/v1/backend-modules/M265/:param"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","api","PUT","/istio-configs/${id}","TEMPLATE_ID_PARAMETER","/istio-configs/:param"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M166\M166Page.jsx","fetch","DELETE","/api/m166/${id}","TEMPLATE_ID_PARAMETER","/api/m166/:param"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\pages\modules\M288\M288.jsx","fetch","DELETE","/api/v1/backend-modules/M288/${id}","TEMPLATE_ID_PARAMETER","/api/v1/backend-modules/M288/:param"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","api","PUT","/rural-development-project/${id}","TEMPLATE_ID_PARAMETER","/rural-development-project/:param"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\pages\modules\M336\M336.jsx","fetch","DELETE","/api/v1/backend-modules/M336/${id}","TEMPLATE_ID_PARAMETER","/api/v1/backend-modules/M336/:param"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","api","GET","/videos/${id}","TEMPLATE_ID_PARAMETER","/videos/:param"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\operationsApi.js","api","GET","/logistics/shipments/${shipmentId}/live-tracking","TEMPLATE_ID_PARAMETER","/logistics/shipments/:param/live-tracking"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M229\M229Page.jsx","fetch","GET","/api/m229?${params}","TEMPLATE_INTERPOLATION","/api/m229"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","api","PUT","/research-development/rd-project/${projectId}/milestone/${milestoneId}","TEMPLATE_ID_PARAMETER","/research-development/rd-project/:param/milestone/:param"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\pages\modules\M214\M214.jsx","fetch","DELETE","/api/v1/backend-modules/M214/${id}","TEMPLATE_ID_PARAMETER","/api/v1/backend-modules/M214/:param"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\pages\modules\M116\M116.jsx","fetch","DELETE","/api/v1/backend-modules/M116/${id}","TEMPLATE_ID_PARAMETER","/api/v1/backend-modules/M116/:param"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M163\M163Page.jsx","fetch","GET","/api/m163/search?q=${encodeURIComponent(searchQuery)}","TEMPLATE_INTERPOLATION","/api/m163/search"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\pages\modules\M297\M297.jsx","fetch","DELETE","/api/v1/backend-modules/M297/${id}","TEMPLATE_ID_PARAMETER","/api/v1/backend-modules/M297/:param"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M250\M250Page.jsx","fetch","GET","/api/m250/search?q=${encodeURIComponent(searchQuery)}","TEMPLATE_INTERPOLATION","/api/m250/search"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M194\M194Page.jsx","fetch","GET","/api/m194/search?q=${encodeURIComponent(searchQuery)}","TEMPLATE_INTERPOLATION","/api/m194/search"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M079\M079Page.jsx","fetch","DELETE","/api/m079/${id}","TEMPLATE_ID_PARAMETER","/api/m079/:param"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\pages\modules\M46\M46.jsx","fetch","DELETE","/api/v1/backend-modules/M046/${id}","TEMPLATE_ID_PARAMETER","/api/v1/backend-modules/M046/:param"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M155\M155Page.jsx","fetch","GET","/api/m155?${params}","TEMPLATE_INTERPOLATION","/api/m155"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","api","POST","/robotics/missions/${id}/pause","TEMPLATE_ID_PARAMETER","/robotics/missions/:param/pause"
