"Count","Method","RouteFamily","Files"
"1","DELETE","/api/m239/:param","1"
"1","GET","/api/m050/search","1"
"1","DELETE","/api/m222/:param","1"
"1","DELETE","/api/m247/:param","1"
"1","GET","/api/m315/search","1"
"1","DELETE","/api/m196/:param","1"
"1","DELETE","/api/m164/:param","1"
"1","PUT","/timeouts/:param","1"
"1","DELETE","/api/m340/:param","1"
"1","PUT","/rate-limits/:param","1"
"1","DELETE","/api/m207/:param","1"
"1","DELETE","/api/m275/:param","1"
"1","GET","/asset-accounting/company/:param/register-summary","1"
"1","DELETE","/seed-planning/plan/:param","1"
"1","GET","/api/m286","1"
"1","GET","/api/m209","1"
"1","GET","/api/m256/search","1"
"1","GET","/sectors/:param","1"
"1","GET","/ecommerce-integration/recipe-products/:param","1"
"1","GET","/api/m144/search","1"
"1","GET","/api/m285/search","1"
"1","DELETE","/api/m085/:param","1"
"1","GET","/api/m242/search","1"
"1","GET","/privacy/consent/:param","1"
"1","GET","/releases/:param","1"
"1","GET","/api/m261","1"
"1","GET","/api/m102/search","1"
"1","DELETE","/api/m224/:param","1"
"1","POST","/extensions/:param/enable","1"
"1","PUT","/admin/users/:param","1"
"1","DELETE","/api/m293/:param","1"
"1","POST","/enterprise-control/crm/leads/:param/convert","1"
"1","GET","/api/m065/search","1"
"1","PUT","/goat/animal/:param","1"
"1","DELETE","/api/m208/:param","1"
"1","GET","/api/m160","1"
"1","GET","/api/m186","1"
"1","GET","/api/m223/search","1"
"1","PUT","/sap-module-architecture/:param","1"
"1","GET","/api/m315","1"
"1","POST","/:param/pause","1"
"1","GET","/api/m252","1"
"1","GET","/api/m138/search","1"
"1","POST","/feature-toggle/:param/toggle","1"
"1","DELETE","/api/m033/:param","1"
"1","GET","/api/m087/search","1"
"1","GET","/api/m159/search","1"
"1","GET","/api/m337","1"
"1","GET","/api/m184","1"
"1","GET","/vendor-procurement/vendors/:param","1"
"1","DELETE","/contractor-management/contractor/:param","1"
"1","GET","/api/m294","1"
"1","GET","/api/m149/search","1"
"1","GET","/api/m305","1"
"1","PUT","/dairy/animal/:param","1"
"1","GET","/filters/:param","1"
"1","POST","/:param/api/v1/warnings/generate","1"
"1","GET","/api/m279","1"
"1","GET","/api/m096/search","1"
"1","DELETE","/cold-fish-chain/shipment/:param","1"
"1","DELETE","/api/m192/:param","1"
"1","GET","/user-guides/:param","1"
"1","DELETE","/bio-pesticide/item/:param","1"
"1","GET","/api/m045/search","1"
"1","GET","/api/m127/search","1"
"1","GET","/api/m094","1"
"1","POST","/:param/artifacts","1"
"1","GET","/api/m318/search","1"
"1","DELETE","/api/m076/:param","1"
"1","PUT","/logistics/shipments/:param/status","1"
"1","GET","/livestock/:param/health","1"
"1","GET","/api/m051","1"
"1","GET","/api/m178","1"
"1","POST","/equipment-exchange/listing/:param/complete","1"
"1","GET","/api/m221","1"
"1","GET","/api/m227","1"
"1","GET","/api/m033","1"
"1","PUT","/poultry/flock/:param","1"
"1","DELETE","/api/m140/:param","1"
"1","PUT","/integration-hub/:param","1"
"1","DELETE","/api/m251/:param","1"
"1","GET","/knowledge-base/:param","1"
"1","GET","/api/m299","1"
"1","GET","/api/m235/search","1"
"1","DELETE","/api/m231/:param","1"
"1","DELETE","/admin/users/:param","1"
"1","GET","/api/m131","1"
"1","GET","/api/m219","1"
"1","PUT","/limits/:param","1"
"1","GET","/api/m289/search","1"
"1","GET","/api/m053/search","1"
"1","GET","/api/m066","1"
"1","DELETE","/api/m047/:param","1"
"1","GET","/api/m057/search","1"
"1","POST","/conversational-ai/session/:param/respond","1"
"1","GET","/api/m129","1"
"1","GET","/api/m226","1"
"1","GET","/api/m055","1"
"1","GET","/search/:param","1"
"1","DELETE","/role-management/role/:param","1"
"1","GET","/api/m334/search","1"
"1","DELETE","/api/m099/:param","1"
"1","GET","/api/m101","1"
"1","GET","/api/m168/search","1"
"1","GET","/unions/:param","1"
"1","DELETE","/fish-processing/batch/:param","1"
"1","GET","/api/m091","1"
"1","POST","/enterprise-control/emergency/incidents/:param/acknowledge","1"
"1","GET","/api/m056/search","1"
"1","DELETE","/api/m034/:param","1"
"1","DELETE","/api/m112/:param","1"
"1","DELETE","/farm-productivity/metric/:param","1"
"1","GET","/api/m059","1"
"1","DELETE","/api/m032/:param","1"
"1","DELETE","/api/m311/:param","1"
"1","PUT","/precision-horticulture/reading/:param","1"
"1","DELETE","/fertilizer-inventory/item/:param","1"
"1","DELETE","/api/m143/:param","1"
"1","DELETE","/api/m306/:param","1"
"1","GET","/api/m306/search","1"
"1","DELETE","/api/m314/:param","1"
"1","DELETE","/api/m204/:param","1"
"1","POST","/adaptive-strategies/:param/apply","1"
"1","GET","/api/m103/search","1"
"1","PUT","/goat-farming/animal/:param","1"
"1","GET","/api/m341/search","1"
"1","POST","/forms/:param","1"
"1","GET","/api/m269/search","1"
"1","GET","/components/:param","1"
"1","PUT","/survey-management/survey/:param","1"
"1","DELETE","/api/m162/:param","1"
"1","PUT","/notifications/:param/read","1"
"1","GET","/machinery/:param/maintenance","1"
"1","DELETE","/hatchery-management/batch/:param","1"
"1","DELETE","/animal-health/outbreak/:param","1"
"1","GET","/api/m197/search","1"
"1","GET","/api/m299/search","1"
"1","DELETE","/api/m120/:param","1"
"1","GET","/vendors/:param","1"
"1","DELETE","/api/m257/:param","1"
"1","GET","/api/m071/search","1"
"1","DELETE","/api/m078/:param","1"
"1","GET","/financial/loans/farmer/:param","1"
"1","GET","/access-logs/:param","1"
"1","POST","/complete-erp-integration/sync-goat-production/:param","1"
"1","GET","/api/m303/search","1"
"1","DELETE","/farmers/:param/fields/:param","1"
"1","GET","/api/m088","1"
"1","DELETE","/api/m132/:param","1"
