"FromFile","ToFile","ImportPath","Occurrences","MinDepth","FromRole","ToRole","FromLines","FromPathClass"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M074\service.js","","","313","13","SERVICE","","243","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M104\service.js","","","313","13","SERVICE","","243","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\productService.js","","","313","13","SERVICE","","636","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\decisionSupportRoutes.js","","","313","13","ROUTE","","219","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M060\service.js","","","313","13","SERVICE","","243","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M083\service.js","","","313","13","SERVICE","","243","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M072\service.js","","","313","13","SERVICE","","243","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\core\mcda.js","","","312","13","OTHER","","209","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M085\service.js","","","313","13","SERVICE","","243","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\aiService\fraudDetection.js","","","313","13","SERVICE","","122","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M055\service.js","","","312","13","SERVICE","","243","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M052\service.js","","","313","13","SERVICE","","243","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\core\errorHandler.js","","","626","13","OTHER","","114","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\core\signalBus.js","","","3421","13","OTHER","","247","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\middleware\inputValidation.js","","","20","13","MIDDLEWARE_OR_AUTH","","196","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\aiService.js","","","625","13","SERVICE","","5","PRODUCTION_OR_REVIEW"
