"SourceLine","Method","Path","SourceText","Extraction"
"298","GET","/ecommerce-ai/forecast-demand/${productId}","forecastProductDemand: (productId, horizonDays) => api.get(`/ecommerce-ai/forecast-demand/${productId}`, { params: { horizonDays } }),","DIRECT_SAME_LINE"
"299","GET","/ecommerce-ai/optimize-inventory/${productId}","optimizeInventory: (productId) => api.get(`/ecommerce-ai/optimize-inventory/${productId}`),","DIRECT_SAME_LINE"
"300","GET","/ecommerce-ai/customer-lifetime-value/${userId}","calculateCustomerLifetimeValue: (userId) => api.get(`/ecommerce-ai/customer-lifetime-value/${userId}`),","DIRECT_SAME_LINE"
"301","GET","/ecommerce-ai/recommendations/${userId}","getPersonalizedRecommendations: (userId, limit) => api.get(`/ecommerce-ai/recommendations/${userId}`, { params: { limit } }),","DIRECT_SAME_LINE"
"305","GET","/ai/operation-intelligence","getOperationIntelligence: () => api.get('/ai/operation-intelligence'),","DIRECT_SAME_LINE"
"306","POST","/ai/operation-intelligence/analyze","analyzeOperations: (data) => api.post('/ai/operation-intelligence/analyze', data),","DIRECT_SAME_LINE"
"307","GET","/ai-operation-intelligence/metrics","getMetrics: () => api.get('/ai-operation-intelligence/metrics'),","DIRECT_SAME_LINE"
"308","GET","/ai-operation-intelligence/strategies","getStrategies: () => api.get('/ai-operation-intelligence/strategies'),","DIRECT_SAME_LINE"
"309","GET","/ai-operation-intelligence/resource-allocation","getResourceAllocation: () => api.get('/ai-operation-intelligence/resource-allocation'),","DIRECT_SAME_LINE"
"310","GET","/ai-operation-intelligence/operation-history","getOperationHistory: (limit) => api.get('/ai-operation-intelligence/operation-history', { params: { limit } }),","DIRECT_SAME_LINE"
"311","POST","/ai-operation-intelligence/strategy","addStrategy: (data) => api.post('/ai-operation-intelligence/strategy', data),","DIRECT_SAME_LINE"
"312","GET","/ai-operation-intelligence/continuous-improvement","getContinuousImprovement: () => api.get('/ai-operation-intelligence/continuous-improvement'),","DIRECT_SAME_LINE"
"313","GET","/ai-operation-intelligence/health","getServiceHealth: () => api.get('/ai-operation-intelligence/health'),","DIRECT_SAME_LINE"
"314","POST","/ai-operation-intelligence/analyze-performance","analyzePerformance: (data) => api.post('/ai-operation-intelligence/analyze-performance', data),","DIRECT_SAME_LINE"
"315","POST","/ai-operation-intelligence/execute-optimizations","executeOptimizations: (data) => api.post('/ai-operation-intelligence/execute-optimizations', data),","DIRECT_SAME_LINE"
"316","POST","/ai-operation-intelligence/recommend-optimizations","recommendOptimizations: (data) => api.post('/ai-operation-intelligence/recommend-optimizations', data),","DIRECT_SAME_LINE"
"317","GET","/ai-operation-intelligence/detect-anomalies","detectAnomalies: () => api.get('/ai-operation-intelligence/detect-anomalies'),","DIRECT_SAME_LINE"
"318","POST","/ai-operation-intelligence/run-optimization-cycle","runOptimizationCycle: () => api.post('/ai-operation-intelligence/run-optimization-cycle'),","DIRECT_SAME_LINE"
"319","GET","/ai-operation-intelligence/predict-optimization","predictOptimization: (horizon) => api.get('/ai-operation-intelligence/predict-optimization', { params: { horizon } }),","DIRECT_SAME_LINE"
"323","POST","/ai/product-media/analyze","analyzeProductMedia: (data) => api.post('/ai/product-media/analyze', data),","DIRECT_SAME_LINE"
"324","POST","/ai/product-media/generate","generateProductMedia: (data) => api.post('/ai/product-media/generate', data),","DIRECT_SAME_LINE"
"325","GET","/ai/product-media-ai/status","getProviderStatus: () => api.get('/ai/product-media-ai/status'),","DIRECT_SAME_LINE"
"326","POST","/ai/product-media-ai/products/${productId}/image","requestImage: (productId, prompt) => api.post(`/ai/product-media-ai/products/${productId}/image`, { prompt }),","DIRECT_SAME_LINE"
"327","POST","/ai/product-media-ai/products/${productId}/cartoon","requestCartoon: (productId, prompt) => api.post(`/ai/product-media-ai/products/${productId}/cartoon`, { prompt }),","DIRECT_SAME_LINE"
"328","POST","/ai/product-media-ai/products/${productId}/video-script","buildNutrientVideoScript: (productId) => api.post(`/ai/product-media-ai/products/${productId}/video-script`),","DIRECT_SAME_LINE"
"329","POST","/ai/product-media-ai/products/${productId}/video","requestVideo: (productId) => api.post(`/ai/product-media-ai/products/${productId}/video`),","DIRECT_SAME_LINE"
"333","GET","/nutrition","getNutritionData: () => api.get('/nutrition'),","DIRECT_SAME_LINE"
"334","POST","/nutrition/analyze","analyzeNutrition: (data) => api.post('/nutrition/analyze', data),","DIRECT_SAME_LINE"
"335","GET","/nutrition-intelligence/wellness-practices","getWellnessPractices: (params) => api.get('/nutrition-intelligence/wellness-practices', { params }),","DIRECT_SAME_LINE"
"336","GET","/nutrition-intelligence/dietary-profiles","getDietaryProfiles: () => api.get('/nutrition-intelligence/dietary-profiles'),","DIRECT_SAME_LINE"
"337","POST","/nutrition-intelligence/recipes","generateRecipe: (dietaryProfileId, targetCalories) => api.post('/nutrition-intelligence/recipes', {","DIRECT_SAME_LINE"
"341","GET","/nutrition-intelligence/food-profiles/search","searchFoodProfiles: (q) => api.get('/nutrition-intelligence/food-profiles/search', { params: { q } }),","DIRECT_SAME_LINE"
"342","GET","/nutrition-intelligence/product-nutrition/${productId}","getProductNutrition: (productId) => api.get(`/nutrition-intelligence/product-nutrition/${productId}`),","DIRECT_SAME_LINE"
"343","GET","/nutrition-intelligence/product-nutrition/${productId}/score","getNutritionScore: (productId) => api.get(`/nutrition-intelligence/product-nutrition/${productId}/score`),","DIRECT_SAME_LINE"
"344","GET","/nutrition-intelligence/product-nutrition/${productId}/value-per-nutrient","getValuePerNutrient: (productId) => api.get(`/nutrition-intelligence/product-nutrition/${productId}/value-per-nutrient`),","DIRECT_SAME_LINE"
"348","GET","/ai/self-healing/status","getSelfHealingStatus: () => api.get('/ai/self-healing/status'),","DIRECT_SAME_LINE"
"349","POST","/ai/self-healing/initiate","initiateSelfHealing: (data) => api.post('/ai/self-healing/initiate', data),","DIRECT_SAME_LINE"
"350","GET","/ai-self-healing/health-metrics","getHealthMetrics: () => api.get('/ai-self-healing/health-metrics'),","DIRECT_SAME_LINE"
"351","GET","/ai-self-healing/health","getServiceHealth: () => api.get('/ai-self-healing/health'),","DIRECT_SAME_LINE"
"352","GET","/ai-self-healing/system-state","getSystemState: () => api.get('/ai-self-healing/system-state'),","DIRECT_SAME_LINE"
"353","GET","/ai-self-healing/predict-failures","predictFailures: () => api.get('/ai-self-healing/predict-failures'),","DIRECT_SAME_LINE"
"354","POST","/ai-self-healing/detect-error","detectError: (data) => api.post('/ai-self-healing/detect-error', data),","DIRECT_SAME_LINE"
"355","POST","/ai-self-healing/root-cause-analysis","rootCauseAnalysis: (data) => api.post('/ai-self-healing/root-cause-analysis', data),","DIRECT_SAME_LINE"
"356","GET","/ai-self-healing/healing-history","getHealingHistory: (limit) => api.get('/ai-self-healing/healing-history', { params: { limit } }),","DIRECT_SAME_LINE"
"357","POST","/ai-self-healing/error-pattern","addErrorPattern: (data) => api.post('/ai-self-healing/error-pattern', data),","DIRECT_SAME_LINE"
"358","POST","/ai-self-healing/recovery-strategy","addRecoveryStrategy: (data) => api.post('/ai-self-healing/recovery-strategy', data),","DIRECT_SAME_LINE"
"359","POST","/ai-self-healing/execute-recovery","executeRecovery: (data) => api.post('/ai-self-healing/execute-recovery', data),","DIRECT_SAME_LINE"
"363","GET","/orders/ai/insights","getOrderAIInsights: () => api.get('/orders/ai/insights'),","DIRECT_SAME_LINE"
"364","POST","/orders/ai/optimize","optimizeOrders: (data) => api.post('/orders/ai/optimize', data),","DIRECT_SAME_LINE"
"368","GET","/logistics/ai/insights","getLogisticsAIInsights: () => api.get('/logistics/ai/insights'),","DIRECT_SAME_LINE"
"369","POST","/logistics/ai/optimize","optimizeLogistics: (data) => api.post('/logistics/ai/optimize', data),","DIRECT_SAME_LINE"
"373","GET","/insurance/ai/insights","getInsuranceAIInsights: () => api.get('/insurance/ai/insights'),","DIRECT_SAME_LINE"
"374","POST","/insurance/ai/assess","assessRisk: (data) => api.post('/insurance/ai/assess', data),","DIRECT_SAME_LINE"
"378","GET","/finance/ai/insights","getFinancialAIInsights: () => api.get('/finance/ai/insights'),","DIRECT_SAME_LINE"
"379","POST","/finance/ai/forecast","forecastFinance: (data) => api.post('/finance/ai/forecast', data),","DIRECT_SAME_LINE"
"383","GET","/performance","getMetrics: () => api.get('/performance'),","DIRECT_SAME_LINE"
"384","GET","/performance/kpis","getKPIs: () => api.get('/performance/kpis'),","DIRECT_SAME_LINE"
"385","GET","/performance/metrics","getPerformanceMetrics: () => api.get('/performance/metrics'),","DIRECT_SAME_LINE"
"386","POST","/performance/analyze","analyzePerformance: (data) => api.post('/performance/analyze', data),","DIRECT_SAME_LINE"
"390","GET","/climate","getData: () => api.get('/climate'),","DIRECT_SAME_LINE"
"391","GET","/climate/forecasts","getForecasts: () => api.get('/climate/forecasts'),","DIRECT_SAME_LINE"
"395","GET","/market/prices","getPrices: () => api.get('/market/prices'),","DIRECT_SAME_LINE"
"396","GET","/market/trends","getTrends: () => api.get('/market/trends'),","DIRECT_SAME_LINE"
"400","GET","/farmer/profile","getProfile: () => api.get('/farmer/profile'),","DIRECT_SAME_LINE"
"401","PUT","/farmer/profile","updateProfile: (data) => api.put('/farmer/profile', data),","DIRECT_SAME_LINE"
"405","GET","/products","getProducts: () => api.get('/products'),","DIRECT_SAME_LINE"
"406","GET","/products/${id}","getProduct: (id) => api.get(`/products/${id}`),","DIRECT_SAME_LINE"
