"Prefix","Variable","ImportPath","ResolvedFile","Exists","IndexLine"
"/api/v1/backend-modules/M047","legacyModuleM047Routes","./modules/M047/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M047\routes.js","True","1174"
"/api/v1/backend-modules/M048","legacyModuleM048Routes","./modules/M048/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M048\routes.js","True","1175"
"/api/v1/backend-modules/M049","legacyModuleM049Routes","./modules/M049/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M049\routes.js","True","1176"
"/api/v1/backend-modules/M050","legacyModuleM050Routes","./modules/M050/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M050\routes.js","True","1177"
"/api/v1/backend-modules/M051","legacyModuleM051Routes","./modules/M051/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M051\routes.js","True","1178"
"/api/v1/backend-modules/M052","legacyModuleM052Routes","./modules/M052/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M052\routes.js","True","1179"
"/api/v1/backend-modules/M053","legacyModuleM053Routes","./modules/M053/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M053\routes.js","True","1180"
"/api/v1/backend-modules/M054","legacyModuleM054Routes","./modules/M054/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M054\routes.js","True","1181"
"/api/v1/backend-modules/M055","legacyModuleM055Routes","./modules/M055/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M055\routes.js","True","1182"
"/api/v1/backend-modules/M056","legacyModuleM056Routes","./modules/M056/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M056\routes.js","True","1183"
"/api/v1/backend-modules/M057","legacyModuleM057Routes","./modules/M057/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M057\routes.js","True","1184"
"/api/v1/backend-modules/M058","legacyModuleM058Routes","./modules/M058/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M058\routes.js","True","1185"
"/api/v1/backend-modules/M059","legacyModuleM059Routes","./modules/M059/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M059\routes.js","True","1186"
"/api/v1/backend-modules/M060","legacyModuleM060Routes","./modules/M060/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M060\routes.js","True","1187"
"/api/v1/backend-modules/M061","legacyModuleM061Routes","./modules/M061/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M061\routes.js","True","1188"
"/api/v1/backend-modules/M062","legacyModuleM062Routes","./modules/M062/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M062\routes.js","True","1189"
"/api/v1/backend-modules/M063","legacyModuleM063Routes","./modules/M063/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M063\routes.js","True","1190"
"/api/v1/backend-modules/M064","legacyModuleM064Routes","./modules/M064/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M064\routes.js","True","1191"
"/api/v1/backend-modules/M065","legacyModuleM065Routes","./modules/M065/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M065\routes.js","True","1192"
"/api/v1/backend-modules/M066","legacyModuleM066Routes","./modules/M066/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M066\routes.js","True","1193"
"/api/v1/backend-modules/M067","legacyModuleM067Routes","./modules/M067/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M067\routes.js","True","1194"
"/api/v1/backend-modules/M068","legacyModuleM068Routes","./modules/M068/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M068\routes.js","True","1195"
"/api/v1/backend-modules/M069","legacyModuleM069Routes","./modules/M069/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M069\routes.js","True","1196"
"/api/v1/backend-modules/M070","legacyModuleM070Routes","./modules/M070/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M070\routes.js","True","1197"
"/api/v1/backend-modules/M071","legacyModuleM071Routes","./modules/M071/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M071\routes.js","True","1198"
"/api/v1/backend-modules/M072","legacyModuleM072Routes","./modules/M072/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M072\routes.js","True","1199"
"/api/v1/backend-modules/M073","legacyModuleM073Routes","./modules/M073/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M073\routes.js","True","1200"
"/api/v1/backend-modules/M074","legacyModuleM074Routes","./modules/M074/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M074\routes.js","True","1201"
