"Family","File","RelativePath","Size","Mounted"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\completeAIIntegrationDomainRoutes.js","routes\completeAIIntegrationDomainRoutes.js","2724","True"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\completeAIIntegrationRoutes.js","routes\completeAIIntegrationRoutes.js","6370","True"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\completeERPIntegrationDomainRoutes.js","routes\completeERPIntegrationDomainRoutes.js","2969","True"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\completeERPIntegrationRoutes.js","routes\completeERPIntegrationRoutes.js","657","True"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\complianceDomainRoutes.js","routes\complianceDomainRoutes.js","1044","True"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\complianceRoutes.js","routes\complianceRoutes.js","1871","True"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\complianceTracking.js","routes\complianceTracking.js","327","True"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\comprehensiveERPDomainRoutes.js","routes\comprehensiveERPDomainRoutes.js","9963","True"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\comprehensiveERPRoutes.js","routes\comprehensiveERPRoutes.js","650","True"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\contractFarmingRoutes.js","routes\contractFarmingRoutes.js","5824","True"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\conversationalAIDomainRoutes.js","routes\conversationalAIDomainRoutes.js","1359","True"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\cooperativeShareDomainRoutes.js","routes\cooperativeShareDomainRoutes.js","1469","True"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\cooperativeShareRoutes.js","routes\cooperativeShareRoutes.js","2820","True"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\costControlDomainRoutes.js","routes\costControlDomainRoutes.js","2480","True"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\costControlRoutes.js","routes\costControlRoutes.js","5755","True"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\costRoutes.js","routes\costRoutes.js","1924","True"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\cropDomainRoutes.js","routes\cropDomainRoutes.js","5881","True"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\cropManagementRoutes.js","routes\cropManagementRoutes.js","642","True"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\cropPlanningRoutes.js","routes\cropPlanningRoutes.js","3326","True"
