"Method","Prefix","LocalPath","EffectiveURL","RouterFile","Variable","MountLine","RouteLine"
"POST","/api/v1/backend-modules/M041","/villages/:villageId/ai/insights","/api/v1/backend-modules/M041/villages/:villageId/ai/insights","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M041\routes.js","M041VillageERPRoutes","1120","67"
"GET","/api/v1/backend-modules/M041","/villages/:villageId/projects","/api/v1/backend-modules/M041/villages/:villageId/projects","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M041\routes.js","M041VillageERPRoutes","1120","70"
"POST","/api/v1/backend-modules/M041","/villages/:villageId/projects","/api/v1/backend-modules/M041/villages/:villageId/projects","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M041\routes.js","M041VillageERPRoutes","1120","71"
"GET","/api/v1/backend-modules/M041","/projects/:projectId","/api/v1/backend-modules/M041/projects/:projectId","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M041\routes.js","M041VillageERPRoutes","1120","72"
"POST","/api/v1/backend-modules/M041","/projects/:projectId/estimates","/api/v1/backend-modules/M041/projects/:projectId/estimates","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M041\routes.js","M041VillageERPRoutes","1120","73"
"POST","/api/v1/backend-modules/M041","/projects/:projectId/funding-sources","/api/v1/backend-modules/M041/projects/:projectId/funding-sources","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M041\routes.js","M041VillageERPRoutes","1120","74"
"POST","/api/v1/backend-modules/M041","/projects/:projectId/subsidy-matches","/api/v1/backend-modules/M041/projects/:projectId/subsidy-matches","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M041\routes.js","M041VillageERPRoutes","1120","75"
"GET","/api/v1/backend-modules/M041","/projects/:projectId/subsidy-ai-context","/api/v1/backend-modules/M041/projects/:projectId/subsidy-ai-context","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M041\routes.js","M041VillageERPRoutes","1120","76"
"POST","/api/v1/backend-modules/M041","/scheme-catalogue","/api/v1/backend-modules/M041/scheme-catalogue","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M041\routes.js","M041VillageERPRoutes","1120","77"
"GET","/api/v1/backend-modules/M041","/villages/:villageId/completeness","/api/v1/backend-modules/M041/villages/:villageId/completeness","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M041\routes.js","M041VillageERPRoutes","1120","80"
"GET","/api/v1/backend-modules/M041","/villages/:villageId/infrastructure-profile","/api/v1/backend-modules/M041/villages/:villageId/infrastructure-profile","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M041\routes.js","M041VillageERPRoutes","1120","81"
"GET","/api/v1/backend-modules/M041","/villages/:villageId/readiness","/api/v1/backend-modules/M041/villages/:villageId/readiness","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M041\routes.js","M041VillageERPRoutes","1120","82"
"POST","/api/v1/backend-modules/M002","/configurations","/api/v1/backend-modules/M002/configurations","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M002\routes.js","finalBatchModuleM002Routes","1121","6"
"GET","/api/v1/backend-modules/M002","/configurations/:key","/api/v1/backend-modules/M002/configurations/:key","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M002\routes.js","finalBatchModuleM002Routes","1121","7"
"PUT","/api/v1/backend-modules/M002","/configurations/:id","/api/v1/backend-modules/M002/configurations/:id","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M002\routes.js","finalBatchModuleM002Routes","1121","8"
"POST","/api/v1/backend-modules/M002","/configurations/bulk","/api/v1/backend-modules/M002/configurations/bulk","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M002\routes.js","finalBatchModuleM002Routes","1121","9"
"GET","/api/v1/backend-modules/M002","/configurations/:id/history","/api/v1/backend-modules/M002/configurations/:id/history","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M002\routes.js","finalBatchModuleM002Routes","1121","10"
"POST","/api/v1/backend-modules/M003","/tenants","/api/v1/backend-modules/M003/tenants","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M003\routes.js","finalBatchModuleM003Routes","1122","6"
"GET","/api/v1/backend-modules/M003","/tenants/:id","/api/v1/backend-modules/M003/tenants/:id","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M003\routes.js","finalBatchModuleM003Routes","1122","7"
"PUT","/api/v1/backend-modules/M003","/tenants/:id","/api/v1/backend-modules/M003/tenants/:id","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M003\routes.js","finalBatchModuleM003Routes","1122","8"
"GET","/api/v1/backend-modules/M003","/tenants/:id/usage","/api/v1/backend-modules/M003/tenants/:id/usage","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M003\routes.js","finalBatchModuleM003Routes","1122","9"
"GET","/api/v1/backend-modules/M003","/tenants","/api/v1/backend-modules/M003/tenants","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M003\routes.js","finalBatchModuleM003Routes","1122","10"
"POST","/api/v1/backend-modules/M004","/organizations","/api/v1/backend-modules/M004/organizations","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M004\routes.js","finalBatchModuleM004Routes","1123","6"
"GET","/api/v1/backend-modules/M004","/organizations/:id","/api/v1/backend-modules/M004/organizations/:id","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M004\routes.js","finalBatchModuleM004Routes","1123","7"
"PUT","/api/v1/backend-modules/M004","/organizations/:id","/api/v1/backend-modules/M004/organizations/:id","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M004\routes.js","finalBatchModuleM004Routes","1123","8"
"GET","/api/v1/backend-modules/M004","/organizations","/api/v1/backend-modules/M004/organizations","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M004\routes.js","finalBatchModuleM004Routes","1123","9"
"POST","/api/v1/backend-modules/M005","/environments","/api/v1/backend-modules/M005/environments","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M005\routes.js","finalBatchModuleM005Routes","1124","6"
"GET","/api/v1/backend-modules/M005","/environments/:id","/api/v1/backend-modules/M005/environments/:id","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M005\routes.js","finalBatchModuleM005Routes","1124","7"
"PUT","/api/v1/backend-modules/M005","/environments/:id","/api/v1/backend-modules/M005/environments/:id","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M005\routes.js","finalBatchModuleM005Routes","1124","8"
"GET","/api/v1/backend-modules/M005","/environments","/api/v1/backend-modules/M005/environments","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M005\routes.js","finalBatchModuleM005Routes","1124","9"
"GET","/api/v1/backend-modules/M006","/settings","/api/v1/backend-modules/M006/settings","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M006\routes.js","finalBatchModuleM006Routes","1125","7"
"GET","/api/v1/backend-modules/M006","/settings/:name","/api/v1/backend-modules/M006/settings/:name","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M006\routes.js","finalBatchModuleM006Routes","1125","8"
"PUT","/api/v1/backend-modules/M006","/settings/:name","/api/v1/backend-modules/M006/settings/:name","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M006\routes.js","finalBatchModuleM006Routes","1125","9"
"POST","/api/v1/backend-modules/M006","/audit","/api/v1/backend-modules/M006/audit","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M006\routes.js","finalBatchModuleM006Routes","1125","12"
"GET","/api/v1/backend-modules/M006","/analytics","/api/v1/backend-modules/M006/analytics","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M006\routes.js","finalBatchModuleM006Routes","1125","15"
"GET","/api/v1/backend-modules/M006","/anomalies","/api/v1/backend-modules/M006/anomalies","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M006\routes.js","finalBatchModuleM006Routes","1125","16"
"GET","/api/v1/backend-modules/M006","/predictive-maintenance","/api/v1/backend-modules/M006/predictive-maintenance","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M006\routes.js","finalBatchModuleM006Routes","1125","17"
"GET","/api/v1/backend-modules/M007","/roles","/api/v1/backend-modules/M007/roles","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M007\routes.js","finalBatchModuleM007Routes","1126","7"
"GET","/api/v1/backend-modules/M007","/roles/:id","/api/v1/backend-modules/M007/roles/:id","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M007\routes.js","finalBatchModuleM007Routes","1126","8"
"POST","/api/v1/backend-modules/M007","/roles","/api/v1/backend-modules/M007/roles","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M007\routes.js","finalBatchModuleM007Routes","1126","9"
"PUT","/api/v1/backend-modules/M007","/roles/:id","/api/v1/backend-modules/M007/roles/:id","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M007\routes.js","finalBatchModuleM007Routes","1126","10"
"DELETE","/api/v1/backend-modules/M007","/roles/:id","/api/v1/backend-modules/M007/roles/:id","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M007\routes.js","finalBatchModuleM007Routes","1126","11"
"GET","/api/v1/backend-modules/M007","/permissions","/api/v1/backend-modules/M007/permissions","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M007\routes.js","finalBatchModuleM007Routes","1126","14"
"POST","/api/v1/backend-modules/M007","/permissions","/api/v1/backend-modules/M007/permissions","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M007\routes.js","finalBatchModuleM007Routes","1126","15"
"POST","/api/v1/backend-modules/M007","/assign-role","/api/v1/backend-modules/M007/assign-role","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M007\routes.js","finalBatchModuleM007Routes","1126","18"
