"Family","File","Name","Mounted","EndpointCount","SignatureHash","Signature"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\animalHealthDomainRoutes.js","animalHealthDomainRoutes.js","True","19","49b1c0f34c388b7ce039cf0cac82b3770665285a280fdbf035f7e4ba84d8916b","DELETE /animal-health/examination/:id | DELETE /animal-health/outbreak/:id | DELETE /animal-health/quarantine/:id | DELETE /animal-health/treatment/:id | GET /animal-health/examinations | GET /animal-health/outbreaks | GET /animal-health/outbreaks/active | GET /animal-health/overview | GET /animal-health/quarantines | GET /animal-health/quarantines/active | GET /animal-health/treatments | POST /animal-health/examination | POST /animal-health/outbreak | POST /animal-health/quarantine | POST /animal-health/treatment | PUT /animal-health/examination/:id | PUT /animal-health/outbreak/:id | PUT /animal-health/quarantine/:id | PUT /animal-health/treatment/:id"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\animalHealthRoutes.js","animalHealthRoutes.js","True","19","6a58b2d5d6957269b3ca147d1b5e7132c2346e86c3119d472e744ea8dc75e089","DELETE /examinations/:id | DELETE /outbreaks/:id | DELETE /quarantines/:id | DELETE /treatments/:id | GET /active-outbreaks | GET /active-quarantines | GET /examinations | GET /outbreaks | GET /overview | GET /quarantines | GET /treatments | POST /examinations | POST /outbreaks | POST /quarantines | POST /treatments | PUT /examinations/:id | PUT /outbreaks/:id | PUT /quarantines/:id | PUT /treatments/:id"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\apiCompatibilityRoutes.js","apiCompatibilityRoutes.js","True","2","071dc48377e89326f050eaee5f26506188f379cd5f375f03eb991f0bd41482d1","GET /health | POST /"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\apicultureRoutes.js","apicultureRoutes.js","True","6","753c79109bc4f95e1bf3d78e6b3266f11e233f642b165b4e6d94e7a52594ffae","GET / | GET /:id | GET /:id/hives | GET /:id/honey | GET /health | POST /"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\apiDocumentationRoutes.js","apiDocumentationRoutes.js","False","2","06124cece1439ae759900587edb4b9cecf779e2196e4f5f4a57897716eb7408e","GET / | GET /health"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\apiWarningRoutes.js","apiWarningRoutes.js","True","2","071dc48377e89326f050eaee5f26506188f379cd5f375f03eb991f0bd41482d1","GET /health | POST /"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\ar.js","ar.js","True","1","74fac65f350e55c6eab7fce463c1dac2c69e32dbf56cdc0635ef7a8cd2da51b8","GET /health"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\artificialScientistRoutes.js","artificialScientistRoutes.js","True","15","d600adcda791dbd30cd6889754c062009714613439d5e0a8356e9c82b2822490","GET /experiments/:id | GET /hypotheses/:id | GET /protocols/:id | GET /runs/:id | POST /:entityType/:id/reviews | POST /ai-assistance | POST /artifacts | POST /experiments | POST /experiments/:id/protocols | POST /experiments/:id/runs | POST /experiments/:id/transition | POST /hypotheses | POST /hypotheses/:id/review | POST /protocols/:id/review | POST /runs/:id/transition"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\assetAccountingDomainRoutes.js","assetAccountingDomainRoutes.js","True","9","497f390cbb25c6501583da4dd3cfab856e21c6d3547df81e7c12b3af3cfa95bf","GET /asset-accounting/asset/:assetId | GET /asset-accounting/asset/:assetId/depreciation-schedule | GET /asset-accounting/assets/:companyId | GET /asset-accounting/company/:companyId/register-summary | POST /asset-accounting/asset | POST /asset-accounting/asset/:assetId/depreciation-schedule | POST /asset-accounting/asset/:assetId/dispose | POST /asset-accounting/asset/:assetId/post-depreciation | POST /asset-accounting/company/:companyId/run-depreciation"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\assetAccountingRoutes.js","assetAccountingRoutes.js","True","9","a189a674bdf390b1cfb851cc0448d903e52ffa59a7f6a9d93e59e5f2ee77b0dd","GET /assets | GET /assets/:assetId | GET /assets/:assetId/depreciation-schedule | GET /assets/summary | POST /assets | POST /assets/:assetId/depreciation-schedule | POST /assets/:assetId/depreciation-schedule/:periodDate/post | POST /assets/:assetId/dispose | POST /depreciation-run"
