"File","Family","Lines","SizeBytes","ImportCount","ControllerImportCount","ServiceImportCount","MiddlewareImportCount","ControllerImports","ServiceImports","MiddlewareImports","AllImports"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\M127Routes.js","TOP_LEVEL_ROUTE","39","956","2","0","0","1","","","../middleware/auth","../middleware/auth | express"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\M128Routes.js","TOP_LEVEL_ROUTE","39","956","2","0","0","1","","","../middleware/auth","../middleware/auth | express"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\M129Routes.js","TOP_LEVEL_ROUTE","39","956","2","0","0","1","","","../middleware/auth","../middleware/auth | express"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\M130Routes.js","TOP_LEVEL_ROUTE","39","956","2","0","0","1","","","../middleware/auth","../middleware/auth | express"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\M131Routes.js","TOP_LEVEL_ROUTE","39","956","2","0","0","1","","","../middleware/auth","../middleware/auth | express"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\M132Routes.js","TOP_LEVEL_ROUTE","39","956","2","0","0","1","","","../middleware/auth","../middleware/auth | express"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\M133Routes.js","TOP_LEVEL_ROUTE","39","956","2","0","0","1","","","../middleware/auth","../middleware/auth | express"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\M134Routes.js","TOP_LEVEL_ROUTE","39","956","2","0","0","1","","","../middleware/auth","../middleware/auth | express"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\M135Routes.js","TOP_LEVEL_ROUTE","39","956","2","0","0","1","","","../middleware/auth","../middleware/auth | express"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\M136Routes.js","TOP_LEVEL_ROUTE","39","956","2","0","0","1","","","../middleware/auth","../middleware/auth | express"
