"QualifiedTable","DefinitionCount","SourceFile","SourceRelativePath"
"public.gst_payments","2","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\028_gst_schema.sql","backend\src\database\migrations\028_gst_schema.sql"
"public.gst_notifications","2","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\gst_schema.sql","backend\src\database\gst_schema.sql"
"public.gst_notifications","2","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\028_gst_schema.sql","backend\src\database\migrations\028_gst_schema.sql"
"public.gst_compliance_records","2","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\gst_schema.sql","backend\src\database\gst_schema.sql"
"public.gst_compliance_records","2","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\028_gst_schema.sql","backend\src\database\migrations\028_gst_schema.sql"
"public.gst_audit_logs","2","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\gst_schema.sql","backend\src\database\gst_schema.sql"
"public.gst_audit_logs","2","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\028_gst_schema.sql","backend\src\database\migrations\028_gst_schema.sql"
"public.traditional_recipes","2","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\indigenous_knowledge_schema.sql","backend\src\database\indigenous_knowledge_schema.sql"
"public.traditional_recipes","2","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\029_indigenous_knowledge_schema.sql","backend\src\database\migrations\029_indigenous_knowledge_schema.sql"
"public.traditional_medicine","2","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\indigenous_knowledge_schema.sql","backend\src\database\indigenous_knowledge_schema.sql"
"public.traditional_medicine","2","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\029_indigenous_knowledge_schema.sql","backend\src\database\migrations\029_indigenous_knowledge_schema.sql"
